nome,posicao,naturalidade,clube,idade
Aaron Ramsdale,Goleiro,England,Arsenal FC,25
Aaron Wan-Bissaka,Lateral direito,England,Manchester United,25
Abde Ezzalzouli,Meia esquerdo,Morocco,Real Betis Balompié,21
Abdoulaye Kamara,Volante,France,Borussia Dortmund,18
Abdulaziz Al-Aliwa,Meia esquerdo,Saudi Arabia,Al-Nassr FC,19
Abdulbasit Hindi,Zagueiro,Saudi Arabia,Al-Ahli SFC,26
Abdulelah Al-Amri,Zagueiro,Saudi Arabia,Al-Nassr FC,26
Abdulelah Al-Malki,Volante,Saudi Arabia,Al-Hilal SFC,29
Abdulkarim Darisi,Midfield,Saudi Arabia,Al-Ahli SFC,20
Abdullah Abdo,Goleiro,Saudi Arabia,Al-Ahli SFC,21
Abdullah Al-Ammar,Lateral esquerdo,Saudi Arabia,Al-Ahli SFC,29
Abdullah Al-Hamdan,Centroavante,Saudi Arabia,Al-Hilal SFC,24
Abdullah Al-Khaibari,Volante,Saudi Arabia,Al-Nassr FC,27
Abdullah Madu,Zagueiro,Saudi Arabia,Al-Nassr FC,30
Abdullah Otayf,Volante,Saudi Arabia,Al-Ahli SFC,31
Abdulmajeed Al-Sulaiheem,Meia,Saudi Arabia,Al-Nassr FC,29
Abdulrahman Al-Sanbi,Goleiro,Saudi Arabia,Al-Ahli SFC,22
Abdulrahman Ghareeb,Meia esquerdo,Saudi Arabia,Al-Nassr FC,26
Abdülkerim Bardakcı,Zagueiro,Turkey,Galatasaray,29
Abner,Lateral esquerdo,Brazil,Real Betis Balompié,23
Achraf Hakimi,Lateral direito,Morocco,Paris Saint-Germain,24
Adam Hlozek,Centroavante,Czech Republic,Bayer 04 Leverkusen,21
Adrien Rabiot,Meia,France,Juventus FC,28
Adrien Truffert,Lateral esquerdo,France,Stade Rennais FC,21
Adrián,Goleiro,Spain,Liverpool FC,36
Adu Ares,Meia esquerdo,Spain,Athletic Bilbao,22
Agustín Canobbio,Meia direito,Uruguay,Club Athletico Paranaense,25
Agustín Rossi,Goleiro,Argentina,CR Flamengo,28
Ahmad Abu Rasen,Goleiro,Saudi Arabia,Al-Hilal SFC,19
Ahmed Al-Nakhli,Lateral esquerdo,Saudi Arabia,Al-Ahli SFC,21
Aidi Fulangxisi,Lateral esquerdo,China,Shanghai Shenhua,32
Aihen Muñoz,Lateral esquerdo,Spain,Real Sociedad,26
Aitor Paredes,Zagueiro,Spain,Athletic Bilbao,23
Aitor Ruibal,Meia direito,Spain,Real Betis Balompié,27
Alan Franco,Zagueiro,Argentina,São Paulo Futebol Clube,27
Alan Franco,Meia,Ecuador,Clube Atlético Mineiro,25
Alan Kardec,Centroavante,Brazil,Clube Atlético Mineiro,34
Alejandro Balde,Lateral esquerdo,Spain,FC Barcelona,20
Alejandro Garnacho,Meia esquerdo,Argentina,Manchester United,19
Alejandro Grimaldo,Lateral esquerdo,Spain,Bayer 04 Leverkusen,28
Aleksandar Mitrovic,Centroavante,Serbia,Al-Hilal SFC,29
Aleksandar Pavlovic,Volante,Germany,Bayern Munich,19
Aleksandr Golovin,Meia atacante,Russia,AS Monaco,27
Alessandro Bastoni,Zagueiro,Italy,Inter Milan,24
Alessandro Florenzi,Lateral direito,Italy,AC Milan,32
Alessandro Zanoli,Lateral direito,Italy,SSC Napoli,23
Alessio Zerbin,Meia esquerdo,Italy,SSC Napoli,24
Alex Meret,Goleiro,Italy,SSC Napoli,26
Alex Sandro,Lateral esquerdo,Brazil,Juventus FC,32
Alex Santana,Meia,Brazil,Club Athletico Paranaense,28
Alex Schalk,Centroavante,Netherlands,Urawa Red Diamonds,30
Alex Telles,Lateral esquerdo,Brazil,Al-Nassr FC,30
Alexander Djiku,Zagueiro,Ghana,Fenerbahce,29
Alexander Meyer,Goleiro,Germany,Borussia Dortmund,32
Alexander Scholz,Zagueiro,Denmark,Urawa Red Diamonds,30
Alexandre Letellier,Goleiro,France,Paris Saint-Germain,32
Alexandre Pato,Centroavante,Brazil,São Paulo Futebol Clube,34
Alexis Beka Beka,Volante,France,OGC Nice,22
Alexis Claude-Maurice,Meia atacante,France,OGC Nice,25
Alexis Mac Allister,Meia,Argentina,Liverpool FC,24
Alexis Sánchez,Centroavante,Chile,Inter Milan,34
Alexsander,Volante,Brazil,Fluminense Football Club,20
Ali Al-Asmari,Volante,Saudi Arabia,Al-Ahli SFC,26
Ali Al-Bulayhi,Zagueiro,Saudi Arabia,Al-Hilal SFC,33
Ali Al-Hassan,Volante,Saudi Arabia,Al-Nassr FC,26
Ali Lajami,Zagueiro,Saudi Arabia,Al-Nassr FC,27
Ali Majrashi,Lateral direito,Saudi Arabia,Al-Ahli SFC,24
Ali Turap Bülbül,Lateral direito,Turkey,Galatasaray,18
Ali Yeşilyurt,Zagueiro,Turkey,Galatasaray,18
Aliou Baldé,Meia esquerdo,Senegal,OGC Nice,20
Alisson,Goleiro,Brazil,Liverpool FC,31
Alisson,Meia,Brazil,São Paulo Futebol Clube,30
Allan,Volante,Brazil,CR Flamengo,26
Allan Saint-Maximin,Meia esquerdo,France,Al-Ahli SFC,26
Alphonso Davies,Lateral esquerdo,Canada,Bayern Munich,22
Altay Bayındır,Goleiro,Turkey,Manchester United,25
Amad Diallo,Meia direito,Cote d'Ivoire,Manchester United,21
Amadou Haidara,Meia,Mali,RB Leipzig,25
Amidou Doumbouya,Zagueiro,France,OGC Nice,16
Amin Sarr,Centroavante,Sweden,VfL Wolfsburg,22
Amine Adli,Meia direito,Morocco,Bayer 04 Leverkusen,23
